institute,address,latitude,longitude,display_name,geocoded
Collège Vanier,"821 avenue Sainte‑Croix, Saint‑Laurent (Montréal), QC H4L 3X9, Canada",45.5146496,-73.674643,"Vanier College - D Building, 821, Avenue Sainte-Croix, Vieux Saint-Laurent, Saint-Laurent, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4L 3X9, Canada",True
Federal University of Rio Grande De Norte,"Federal University of Rio Grande do Norte, Natal, RN, Brazil",-5.8377994,-35.2039783,"UFRN - Campus Central, Anel Viário da UFRN, Lagoa Nova, Região Sul, Natal, Região Geográfica Imediata de Natal, Região Geográfica Intermediária de Natal, Rio Grande do Norte, 59082-000, Brasil",True
Simon Fraser University,"8888 University Drive, Burnaby, BC V5A 1S6, Canada",49.2799979,-122.9156806,"Education Building, 8888, University Drive East, Burnaby, Metro Vancouver Regional District, British Columbia, V5A 1S6, Canada",True
Université de Genève,"Université de Genève, Geneva, Switzerland",46.1972358,6.136766,"Université de Genève, 66, Boulevard Carl-Vogt, Jonction, Genève, 1200, Schweiz/Suisse/Svizzera/Svizra",True
Université de Montréal,"2900, boulevard Édouard‑Montpetit, Montréal, QC H3T 1J4, Canada",45.5046424,-73.615128,"2900, Boulevard Édouard-Montpetit, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3T 1J4, Canada",True
Université de Sherbrooke,"2500, boulevard de l’Université, Sherbrooke, QC J1K 2R1, Canada",45.377055,-71.9276415,"2500, Boulevard de l'Université, Le Montagnais, Le Mont-Bellevue, Sherbrooke, Estrie, Québec, J1K 2R1, Canada",True
Université de Victoria,"3800 Finnerty Road, Victoria, BC V8P 5C2, Canada",48.4660721,-123.3074367,"Halpern Centre for Graduate Students, 3800, Finnerty Road, Gordon Head, Victoria, Capital Regional District, British Columbia, V8P 5C2, Canada",True
Université d'Ottawa,"University of Ottawa, Ottawa, ON, Canada",45.4225271,-75.6833904,"University of Ottawa, 75, Laurier Avenue East, Byward Market, Sandy Hill, Rideau-Vanier, Ottawa, Eastern Ontario, Ontario, K1N 6N5, Canada",True
Université du Nouveau-Brunswick,"University of New Brunswick, Fredericton, NB, Canada",45.9455202,-66.6401861,"University of New Brunswick, Mackay Drive, Skyline Acres, Fredericton, City of Fredericton, York County, New Brunswick / Nouveau-Brunswick, E3B 5G3, Canada",True
Université du Québec à Chicoutimi,"555 boulevard de l’Université, Chicoutimi (Saguenay), QC G7H 2B1, Canada",48.4199763,-71.0525781,"Pavillon principal, 555, Boulevard de l'Université, Université du Québec à Chicoutimi (UQAC), Arrondissement de Chicoutimi, Saguenay, Saguenay–Lac-Saint-Jean, Québec, G7H 2B1, Canada",True
Université du Québec à Montréal,"320, rue Sainte‑Catherine Est, Montréal, QC H2X 1L7, Canada",45.5128735,-73.5610701,"320, Rue Sainte-Catherine Est, TOD quartier Berri UQAM, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2X 1L7, Canada",True
Université du Québec à Rimouski,"300 allée des Ursulines, Rimouski, QC G5L 3A1, Canada",48.4525599,-68.5118673,"Université du Québec à Rimouski, 300, Allée des Ursulines, Village-Brisson, Rimouski, Rimouski-Neigette, Bas-Saint-Laurent, Québec, G5L 0K2, Canada",True
Université du Québec à Trois-Rivières,"3351 boulevard des Forges, Trois‑Rivières, QC G8Z 4M3, Canada",46.3467036,-72.579258,"Université du Québec à Trois-Rivières, 3351, Boulevard des Forges, Spémont, Trois-Rivières, Mauricie, Québec, G9A 5H7, Canada",True
Université du Québec en Abitibi-Témiscamingue,"445 boulevard de l’Université, Rouyn‑Noranda, QC J9X 5E4, Canada",48.2303827,-79.0080811,"Université du Québec en Abitibi-Témiscamingue, 445, Boulevard de l'Université, Rouyn, Rouyn-Noranda, Abitibi-Témiscamingue, Québec, J9X 5E4, Canada",True
Université Guelph,"50 Stone Road East, Guelph, ON N1G 2W1, Canada",43.526876,-80.22469,"50, Stone Road East, Guelph, Southwestern Ontario, Ontario, N1G 0A9, Canada",True
Université Laval,"2325 rue de l’Université, Québec, QC G1V 0A6, Canada",46.7786696,-71.2702774,"2325, Rue de l'Université, Cité-Universitaire, Sainte-Foy–Sillery–Cap-Rouge, Québec, Agglomération de Québec, Capitale-Nationale, Québec, G1V 0A6, Canada",True
Université McGill (MILA),"845 rue Sherbrooke Ouest, Montréal, QC H3A 0G4, Canada",45.5068861,-73.5787118,"McGill University, 845, Rue Sherbrooke Ouest, Ville-Marie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3A 3P8, Canada",True
University British Columbia,"6200 University Blvd, Vancouver, BC V6T 1Z4, Canada",49.2650422,-123.2506753,"UBC Bookstore, 6200, University Boulevard - šxʷyəθəstəm, University of British Columbia, Electoral Area A, Metro Vancouver Regional District, British Columbia, V6T, V6T 0C5, Canada",True
University of Porto,"Praça Gomes Teixeira, 4050‑290 Porto, Portugal",41.1470369,-8.615589,"Praça de Gomes Teixeira, Baixa do Porto, Bolhão, Zona Histórica do Porto, Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto, 4050-159, Portugal",True
"Vrije Université, Pays-Bas","De Boelelaan 1105, 1081 HV Amsterdam, Pays‑Bas",52.3340539,4.8651882,"Vrije Universiteit Amsterdam, 1105, De Boelelaan, VU-kwartier, Zuidas, Zuid, Amsterdam, Noord-Holland, Nederland, 1081 HV, Nederland",True
Centre de foresterie des Laurentides,"Centre de foresterie des Laurentides, Quebec City, QC, Canada",46.7792666,-71.2826674,"Centre de Foresterie des Laurentides, 1055, Rue du P.E.P.S., Saint-Denys, Cité-Universitaire, Sainte-Foy–Sillery–Cap-Rouge, Québec, Agglomération de Québec, Capitale-Nationale, Québec, G1V 0A6, Canada",True
European Southern Observatory,"European Southern Observatory, Santiago, Chile",-33.3994525,-70.6000992,"ESO, 3107, Alonso de Córdova, Lo Castillo, Vitacura, Provincia de Santiago, Región Metropolitana de Santiago, 7630659, Chile",True
Institut d'astrophysique des Canaries,"Instituto de Astrofisica de Canarias, La Laguna, Tenerife, Spain",28.4747026,-16.3082208,"Instituto de Astrofisica de Canarias, Avenida de los Menceyes, Curva de Gracia, Gracia, La Cuesta, San Cristóbal de La Laguna, Santa Cruz de Tenerife, Canarias, 38205, España",True
Institut de Planétologie et d’Astrophysique de Grenoble,"414 rue de la Piscine, 38400 Saint‑Martin‑d’Hères, France",45.1941846,5.7615796,"OSUG-A, 414, Rue de la Piscine, Domaine universitaire de Grenoble, Saint-Martin-d'Hères, Grenoble, Isère, Auvergne-Rhône-Alpes, France métropolitaine, 38400, France",True
Institut de recherche en biologie végétale,"4101 rue Sherbrooke Est, Montréal, QC H1X 2B2, Canada",45.5569529,-73.5565181,"Complexe d'accueil, 4101, Rue Sherbrooke Est, Rosemont, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H1V 3N7, Canada",True
Institut du cerveau de Paris,"47 boulevard de l’Hôpital, 75013 Paris, France",48.8354085,2.3643143,"Institut du Cerveau, 47, Boulevard de l'Hôpital, Quartier de la Salpêtrière, Paris 13e Arrondissement, Paris, Île-de-France, France métropolitaine, 75013, France",True
Institut Tropical de recherche du Smithsonian,"Smithsonian Tropical Research Institute, Ancon, Panama",8.9165573,-79.5326809,"BLDG 356 Smithsonian Tropical Research Institute, Calzada de Amador, Isla Naos, Ancón, Distrito de Panamá, Provincia de Panamá, Panamá",True
"ISYEB (Institut de Systématique, Evolution, Biodiversité), Muséum national d'histoire naturelle de Paris","45 rue Buffon, 75005 Paris, France",48.8419461,2.3591237,"45, Rue Buffon, Quartier du Jardin des Plantes, Paris 5e Arrondissement, Paris, Île-de-France, France métropolitaine, 75005, France",True
New Zealand Arthropod Collection (NZAC),"231 Morrin Road, St Johns, Auckland 1072, Nouvelle‑Zélande",-36.8835359,174.848617,"231, Morrin Road, Saint Johns, Ōrākei, Auckland, 1072, New Zealand / Aotearoa",True
Observatoire du Mont Mégantic,"Chemin des Érables, Notre‑Dame‑des‑Bois, QC J0B 2E0, Canada",45.3959686,-70.9936993,"Chemin des Érables, Domaine des Appalaches, Notre-Dame-des-Bois, Le Granit, Québec, Canada",True
Vermont Center for Ecostudies,"Vermont Center for Ecostudies, White River Junction, VT, USA",43.6961888,-72.3196013,"Vermont Center for Ecostudies, 20, Palmer Court, Hartford, Windsor County, Vermont, 05001, United States",True
Agriculture Canada,"1341 Baseline Road, Ottawa, ON K1A 0C5, Canada",45.3649876,-75.7353526,"Agriculture and Agri-Food Canada, 1341, Baseline Road, River, Ottawa, Eastern Ontario, Ontario, K2E 5P1, Canada",True
CNRS - Guyane,"Main Office (LEEISA): 275 route de Montabo, 97300 Cayenne",,,,False
Environnement et Changements climatiques Canada (ECCC),"351 boulevard Saint‑Joseph, Gatineau, QC K1A 0H3",45.4427911,-75.733178,"Place Vincent Massey, 351, Boulevard Saint-Joseph, Hull, Gatineau, Outaouais, Québec, J8Y 3Z5, Canada",True
Italian Natinal Research Council (CNR),"Piazzale Aldo Moro 7, 00185 Roma, Italie",41.9003705,12.5126063,"Consiglio Nazionale delle Ricerche, 7, Piazzale Aldo Moro, San Lorenzo, Municipio Roma II, Roma, Roma Capitale, Lazio, 00185, Italia",True
"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs QC (MELCCFP)","675 boulevard René‑Lévesque Est, Québec, QC G1R 5V7",46.8080768,-71.2175858,"Édifice Marie-Guyart, 675, Boulevard René-Lévesque Est, Saint-Jean-Baptiste, La Cité-Limoilou, Québec, Agglomération de Québec, Capitale-Nationale, Québec, G1R 6C8, Canada",True
"Ressources naturelles Canada, région Terre-Neuve et Labrador (NR-CAN)",St. John’s et Corner Brook,48.9601239,-57.9262599,"St. John's Avenue, Corner Brook, Newfoundland, Newfoundland and Labrador, A2H 1R4, Canada",True
Parcs Nunavik,"Kuujjuaq, QC, Canada",58.1066864,-68.4038778,"ᑰᔾᔪᐊᖅ (ᒐᕙᒪᖃᕐᕕᐅᔪᖅ) / Kuujjuaq (village), ᑲᑎᕕᒃ Kativik, Nord-du-Québec, Québec, J0M 1C0, Canada",True
"Royal Military College of Canada, Department of Physics and Space Science","Royal Military College of Canada, Kingston, ON, Canada",44.2317354,-76.4681093,"Royal Military College of Canada, Navy Way, Barriefield, Kingston, Eastern Ontario, Ontario, K7K 7B4, Canada",True
Valores,"Shippagan, NB, Canada",47.7418049,-64.7181216,"Municipalité de Shippagan, Comté de Gloucester, New Brunswick / Nouveau-Brunswick, Canada",True
Aquaculture Gaspésie inc.,"1811 montée de Pointe‑Navarre, Gaspé, QC G4X 1A8, Canada",48.8929954,-64.5999552,"1811, Montée de Pointe-Navarre, Saint-Majorique, Gaspé, La Côte-de-Gaspé, Gaspésie–Îles-de-la-Madeleine, Québec, G4X 6R1, Canada",True
Poliflora,"5455 avenue de Gaspe, Montreal, QC, Canada",45.5271882,-73.5956384,"5445,5455, Avenue De Gaspé, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 0A2, Canada",True
Première Nation Wolsastoqiyik Wahsipekuk,"217, rue de la Grève, Saint‑Georges‑de‑Cacouna, QC G0L 1G0",47.9180296,-69.5076563,"Centre administratif, 217, Rue de la Gréve, Cacouna, Rivière-du-Loup (MRC), Bas-Saint-Laurent, Québec, G0L 1G0, Canada",True
